F1 values,nrows,n pred,Dataset No.,glm,lda,qda,bs,forest,svm,nb
40.88253,1174,7,1,0.3,0.3,0.3,0.7,0.3,0.6,0.001
37.911,699,8,2,0.3,0.3,0.3,0.8,0.6,0.16,0.006
38.261,10000,3,3,0.19,0.2,0.3,1.3,0.119,0.3,0.004
31.337,768,8,4,0.2,0.3,0.6,1.6,0.6,0.7,0.001
27.668,520,16,5,0.3,0.08,0.3,1.1,0.7,0.015,0.001
27.977,686,11,6,0.8,0.06,0.4,2.07,0.9,0.02,0.002
33.928,918,11,7,0.003,0.3,0.3,1.3,0.6,0.03,0.003
24.044,303,13,8,0.003,0.3,0.12,3.46,0.5,0.03,0.001
29.373,299,12,9,0.002,0.3,0.16,5.3,0.71,0.012,0.001
35.135,579,10,10,0.003,0.018,0.19,2.71,0.012,0.08,0.002
31.693,480,9,11,0.003,0.6,0.15,4.16,0.027,0.026,0.002
32.024,2201,14,12,0.03,0.3,0.3,5.3,0.9,0.67,0.18
23.035,18185,11,13,0.16,0.7,0.2,2.1,1.43,6.7,0.6
30.97,29072,5,14,0.098,0.9,1.3,8.3,3.7,16.3,2.1
30.575,1599,11,15,0.004,0.3,0.3,1.2,1.2,0.09,0.09
34.221,699,9,16,0.003,0.3,0.4,0.6,0.6,0.04,0.003
23.816,200,3,17,0.093,0.3,0.4,0.3,0.09,0.001,0.001
22.063,349,8,18,0.03,0.14,0.6,0.3,0.9,0.05,0.001
29.133,4424,21,19,0.08,0.009,0.3,2.7,0.024,0.6,0.016
31.224,400,12,20,0.38,0.3,0.3,1.7,0.6,0.016,0.002